gene;log2FC;pvalue;ATAC score (pi-value)
MAGEA10;-0.286165115;0.375485743;-0.121736513811515
MAGEA10-MAGEA5;-0.286165115;0.375485743;-0.121736513811515
MAGEA4;0.167963201;0.162920391;0.132359126943065
MAGEA5;-0.405389554;0.120913003;-0.371955858289946
MAGEA8;0.385393846;0.10229004;0.381604134026712
MAGEA8-AS1;-0.040829793;0.420533138;-0.0153601589857936
MAGEB16;-0.277358853;0.548602902;-0.0723190741450086
MAGEB18;-0.054384378;0.965877865;-0.000819996042313628
MAGEB2;0.566771837;0.017705466;0.992923408846045
MAGEB5;-0.534779863;0.151822209;-0.437805392855963
MAGEC2;-0.429112264;0.012823036;-0.811884324918337
MAGEC3;-0.311831685;0.482136383;-0.0987976622354783
MAGED1;0.214224961;0.084075982;0.230362109886811
MAGED2;0.080085623;0.157255209;0.0643403858752344
MAGED4B;-0.698891109;0.02350652;-1.13836198798437
MAGEE1;-0.248270866;0.648839742;-0.0466407997318673
MAGEF1;-0.450086696;0.034121255;-0.660265932485846
MAGEH1;0.497633115;0.091195082;0.517552662861849
MAGEL2;-0.096882495;0.197074449;-0.0683379743994821
MAGI1;0.559918583;0.044263407;0.758104655208826
MAGI1-AS1;-0.350829793;0.028301391;-0.543151955569502
MAGI2-AS3;-0.290055903;0.027073846;-0.454648138426399
MAGI3;-0.465259201;0.078901587;-0.513141008053499
MAGIX;0.611378409;0.004598969;1.42899891570947
MAGOH;-0.499640227;0.027984973;-0.775978799392197
MAGOHB;0.381753635;0.006491164;0.835153806616933
MAGT1;-0.156702466;0.158375109;-0.125411032144014
MAJIN;0.280901114;0.189223153;0.203098731659888
MAK;0.390174878;0.003110612;0.978228567307279
MAK16;0.343648822;0.003992238;0.824339150073865
MAL;0.219442991;0.154623083;0.177908066270593
MAL2;-0.039133963;0.62987582;-0.0078559498777435
MALAT1;0.189867612;0.026485879;0.299418491804298
MALINC1;0.15668585;0.413459763;0.0600994820430689
MALL;0.375157641;0.141400788;0.3187144874822
MALSU1;-0.481304656;0.004665874;-1.12195339733621
MALT1;0.458800833;0.004289141;1.08627046788397
MAMDC2;-0.129592763;0.496784547;-0.0393744182340386
MAMDC4;-0.21026117;0.200448141;-0.146761869227849
MAML1;0.393893243;0.002097362;1.05497475218055
